Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,3.17E-05,35214.4294,59681.3876,810.820982,0.968837738,0.976603238,1.09917716,3.09E-05,3.47E-05,34375.6928,38775.4643
1,3.33E-05,34253.4617,59863.9233,781.061018,0.969837189,0.977367389,1.09579211,3.26E-05,3.64E-05,33469.7508,37569.9598
1,3.11E-05,36792.4625,58391.1576,720.37661,0.960845947,0.971368433,1.13249569,3.02E-05,3.47E-05,35659.4679,42199.7211
1,3.17E-05,35603.6395,58835.2764,796.224021,0.961956024,0.973788318,1.16926654,3.09E-05,3.61E-05,34636.878,42895.0003
1,4.40E-05,29880.4792,59304.992,625.949003,0.963935852,0.975992499,1.19256714,4.29E-05,5.04E-05,29134.6902,38007.1951
1,3.80E-05,30163.9096,59828.2662,710.02599,0.969600677,0.977227958,1.09670825,3.71E-05,4.17E-05,29480.0483,33068.5823
1,3.90E-05,31123.3201,60624.0266,556.649701,0.973930359,0.980539595,1.08252142,3.83E-05,4.22E-05,30498.7417,33787.8524
1,4.20E-05,29539.7814,60131.0843,610.192934,0.970756531,0.978619253,1.09612992,4.12E-05,4.58E-05,28876.0554,32654.9147
1,4.23E-05,28594.5927,60202.9235,635.930022,0.97164917,0.978797741,1.08993412,4.14E-05,4.60E-05,27980.0899,31207.8365
1,4.19E-05,28963.3853,59625.124,646.838969,0.968536377,0.976359379,1.10002061,4.09E-05,4.60E-05,28273.8085,31885.8657
1,5.50E-05,32472.08214,47363.964,444.7027472,0.798744202,0.960059643,9.209107464,5.29E-05,0.000212213,30737.9799,480019.7649
1,4.78E-05,27678.9831,58628.6347,594.981847,0.954025269,0.975464861,1.49692333,4.67E-05,5.95E-05,26931.7837,52339.3467
1,4.22E-05,29129.8259,58862.6242,598.65763,0.962917328,0.973531729,1.13041056,4.12E-05,4.69E-05,28284.5681,33692.4729
1,4.09E-05,28935.4108,59529.9456,659.001831,0.967933655,0.975964916,1.10235676,3.99E-05,4.52E-05,28239.4743,31900.0444
